;hour;nanmean_demand_bikes;nanmedian_demand_bikes;nanstd_demand_bikes;count_demand_bikes;nanmean_demand_locks;nanmedian_demand_locks;nanstd_demand_locks;count_demand_locks;station_id;capacity;probability_pst;fill_deg_pst;opt_no_bikes;valid_date
488;12;15.800066885158374;14.0;6.9062134848160515;33;15.4024899887827;15.0;5.645912317725144;32;301;16;87.664;37.5;6;2019-08-01 08:17:34.639365
489;13;17.69279502693792;16.0;6.738172076448135;33;15.426823418712464;16.0;5.6090769379678305;33;301;16;90.917;43.75;7;2019-08-01 08:17:34.639365
490;14;14.897810282466983;15.19272249835881;5.2554775882087545;33;13.26433791153218;13.0;3.5597684775749507;32;301;16;94.049;43.75;7;2019-08-01 08:17:34.639365
491;15;12.196439613102688;12.0;4.665728761372884;32;9.369084726890605;10.0;3.3953559255155623;32;301;16;80.436;50.0;8;2019-08-01 08:17:34.639365
492;16;10.188657111606748;9.799288994223078;2.7545623097861807;32;8.87162808010711;8.0;3.5129131601672423;30;301;16;61.416;56.25;9;2019-08-01 08:17:34.639365
493;17;9.24234452762559;9.174618056197003;2.5611735282446486;32;6.964444249695962;7.0;4.032986725798541;33;301;16;52.718;56.25;9;2019-08-01 08:17:34.639365
494;18;7.4462133967919995;7.0;3.0488156315312085;31;5.70270167751525;6.0;3.60495116501376;33;301;16;37.146;50.0;8;2019-08-01 08:17:34.639365
495;19;4.896876979913805;4.8;2.83837851153844;31;3.243621042862639;3.0;2.4127021849309744;33;301;16;6.947;56.25;9;2019-08-01 08:17:34.639365
496;20;2.71854888433997;2.0;2.4243530183745348;31;1.7847398477157361;2.0;1.5237516305574055;32;301;16;0.194;56.25;9;2019-08-01 08:17:34.639365
497;21;1.2407026761739557;1.0;1.4812317372037829;30;0.6129032258064516;0.0;0.71542152399075;31;301;16;0.0;68.75;11;2019-08-01 08:17:34.639365
498;22;0.0;0.0;0.0;25;0.0;0.0;0.0;29;301;16;0.0;50.0;8;2019-08-01 08:17:34.639365
499;23;0.0;0.0;0.0;24;0.0;0.0;0.0;29;301;16;0.0;50.0;8;2019-08-01 08:17:34.639365
500;0;0.0;0.0;0.0;29;0.0;0.0;0.0;27;33;25;0.0;48.0;12;2019-08-01 08:17:34.639365
501;5;7.20059158251459;6.951459799742242;3.6530540273323977;30;2.121212121212121;2.0;1.4088465086191913;33;33;25;0.125;72.0;18;2019-08-01 08:17:34.639365
502;6;5.284629248816222;5.272643253234751;3.469941238833288;32;2.4411764705882355;2.5;1.6731602555169998;34;33;25;0.1;64.0;16;2019-08-01 08:17:34.639365
503;7;4.525655895634941;4.0;3.0364877119092455;31;2.15625;2.0;1.5473051495443464;32;33;25;0.004;64.0;16;2019-08-01 08:17:34.639365
504;8;5.59098910007219;5.352238214710154;3.5698634125556308;30;2.4545454545454546;3.0;1.7869476260321164;33;33;25;0.143;64.0;16;2019-08-01 08:17:34.639365
505;9;7.47857741004027;7.0;4.287384631065828;31;2.8181818181818183;3.0;1.666856049846264;33;33;25;0.984;68.0;17;2019-08-01 08:17:34.639365
506;10;7.699895534727938;7.349938750510413;4.828777300792128;31;3.8561765939597317;4.0;1.9813721117489804;32;33;25;2.283;68.0;17;2019-08-01 08:17:34.639365
507;11;10.314499546738842;10.783824263604593;6.064493741959735;33;7.124043413142939;7.0;2.665251518585139;33;33;25;24.346;60.0;15;2019-08-01 08:17:34.639365
508;12;10.881396675692342;10.752212389380531;3.6673539846438414;31;9.464025732182156;9.0;2.7908540090916762;33;33;25;26.997;52.0;13;2019-08-01 08:17:34.639365
509;13;11.430288869017607;11.382352941176471;3.76081704915756;32;9.544913010590015;9.5;2.3789280415358753;32;33;25;33.355;52.0;13;2019-08-01 08:17:34.639365
510;14;10.04569621099341;10.323364195282348;3.5557358952850215;32;7.284593271780306;7.0;3.5280275289660232;33;33;25;15.057;56.0;14;2019-08-01 08:17:34.639365
511;15;7.136073918024646;6.0;4.085328664414349;32;4.931598527514879;4.0;3.1062216702252643;32;33;25;2.51;56.0;14;2019-08-01 08:17:34.639365
512;16;6.079469994173217;5.004638218923933;3.5551356480894727;32;4.243400986076665;4.0;2.7192178643329092;31;33;25;0.57;56.0;14;2019-08-01 08:17:34.639365
513;17;5.901133250875137;5.0;3.8623887024453016;31;4.603799076297259;3.925369517809547;3.691098456079577;33;33;25;1.917;52.0;13;2019-08-01 08:17:34.639365
514;18;5.653952877981007;4.157043879907621;4.48618047039682;31;5.06478578892372;4.137931034482759;3.855210173228945;33;33;25;2.435;52.0;13;2019-08-01 08:17:34.639365
515;19;3.906954070631806;2.187784867821331;3.165708860424693;31;5.212121212121212;5.0;3.7144782251143273;33;33;25;0.68;40.0;10;2019-08-01 08:17:34.639365
516;20;1.7656166470596988;1.0;1.6945714736251185;31;3.225806451612903;3.0;2.18646865088213;31;33;25;0.0;40.0;10;2019-08-01 08:17:34.639365
517;21;0.5968652037617554;0.0;0.691337341056117;29;1.875;1.0;1.75517667523538;32;33;25;0.0;24.0;6;2019-08-01 08:17:34.639365
518;22;0.0;0.0;0.0;28;0.0;0.0;0.0;26;33;25;0.0;48.0;12;2019-08-01 08:17:34.639365
