,hour,nanmean_demand_bikes,nanmedian_demand_bikes,nanstd_demand_bikes,count_demand_bikes,nanmean_demand_locks,nanmedian_demand_locks,nanstd_demand_locks,count_demand_locks,station_id,capacity,probability_pst,fill_deg_pst,opt_no_bikes,valid_date
122,6,1.9954318214845632,2.0,1.5016371560543635,33,1.2580645161290323,1.0,0.9989241524588297,31,183,22,0.0,59.091,13,2019-08-01 11:31:31.868114
123,7,2.0104991146288906,2.0,1.3070774335506774,32,1.4242424242424243,1.0,1.0615526079257398,33,183,22,0.0,54.545,12,2019-08-01 11:31:31.868114
124,8,1.1875,1.0,1.2556324713967089,32,1.3636363636363635,1.0,1.2702898738620108,33,183,22,0.0,45.455,10,2019-08-01 11:31:31.868114
125,9,0.9431061446877207,1.0,0.955246890332016,32,1.411764705882353,1.5,1.2581286502320654,34,183,22,0.0,40.909,9,2019-08-01 11:31:31.868114
126,10,1.2558744272480897,1.0,1.3969803904395783,32,1.9090909090909092,1.0,1.8432925087265106,33,183,22,0.0,40.909,9,2019-08-01 11:31:31.868114
127,11,1.4057428070822575,1.0,1.5619963566348125,32,1.90625,2.0,1.552508376165654,32,183,22,0.0,45.455,10,2019-08-01 11:31:31.868114
128,12,1.625,1.0,1.9468750809040525,32,2.6666666666666665,2.0,2.025874296857203,33,183,22,0.0,45.455,10,2019-08-01 11:31:31.868114
129,13,0.9727034978751226,0.5,1.2624885880872785,28,2.375407735321528,2.0,1.5810406869791747,32,183,22,0.0,40.909,9,2019-08-01 11:31:31.868114
130,14,1.8387096774193548,2.0,1.6752467319482303,31,2.844157735321528,3.0,1.8508663813568338,32,183,22,0.0,45.455,10,2019-08-01 11:31:31.868114
131,15,1.9911246576624604,2.0,1.5440529617165388,31,2.0671015843429634,2.0,1.3628708487323236,30,183,22,0.0,50.0,11,2019-08-01 11:31:31.868114
132,16,2.021965587501099,2.0,1.5259167972503804,33,2.0606060606060606,2.0,1.886454908343192,33,183,22,0.0,45.455,10,2019-08-01 11:31:31.868114
133,17,2.1954463265173496,2.0,1.8678200263395486,33,1.5454545454545454,1.0,1.6410916544123362,33,183,22,0.0,54.545,12,2019-08-01 11:31:31.868114
134,18,1.9675229825906948,2.0,1.4943855893437583,33,1.0303030303030303,0.0,1.4248870236980302,33,183,22,0.0,54.545,12,2019-08-01 11:31:31.868114
135,19,1.9126821076743876,1.0,1.6888349296182998,33,0.21428571428571427,0.0,0.5681120688308978,28,183,22,0.0,72.727,16,2019-08-01 11:31:31.868114
